seed,n_qubits,n_amplitudes,n_layers,n_params,n_q_params,encoding,ansatz,diff_method,backend,shots,sbert_model,embed_dim,torch_device,preproc,loss,optimizer,scheduler,dataset,train_size,var_ratio_pca,best_epoch,stopped_at,val_f1_best,test_acc,test_f1_macro,test_f1_pos,f1_negative,f1_positive,t_data_slice_s,t_pca_fit_s,t_pca_transform_s,t_pad_s,t_preproc_total_s,t_tensor_upload_s,t_circuit_build_s,t_model_init_s,t_warmup_s,t_train_total_s,t_train_epoch_mean_s,t_train_epoch_min_s,t_train_epoch_max_s,t_val_inference_total_s,t_val_inference_mean_s,t_test_inference_s,t_postproc_s,t_cleanup_s,t_seed_total_s,t_embed_train_s,t_embed_test_s
42,6,64,6,782,108,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.56965,8,23,0.613468,0.559633,0.559445,0.568539,0.550351,0.568539,0.0026,0.0273,0.0007,0.0,0.028,0.0004,0.0002,0.0004,0.0255,117.6369,5.0591,5.0251,5.232,1.2466,0.0542,0.0239,0.001761,0.0005,117.7219,0.0,0.0
43,6,64,6,782,108,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.568098,45,50,0.63706,0.626147,0.624485,0.649462,0.599509,0.649462,0.0022,0.0283,0.0007,0.0,0.029,0.0004,0.0002,0.0004,0.025,255.6101,5.0568,5.0154,5.2245,2.7061,0.0541,0.0245,0.001934,0.0004,255.6959,0.0,0.0
44,6,64,6,782,108,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.567907,26,41,0.636215,0.567661,0.567305,0.57971,0.5549,0.57971,0.0021,0.0277,0.0007,0.0,0.0284,0.0004,0.0002,0.0004,0.0248,209.7306,5.0597,5.0213,5.2034,2.2273,0.0543,0.0277,0.002004,0.0005,209.8189,0.0,0.0
45,6,64,6,782,108,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.568842,25,40,0.642442,0.594037,0.594003,0.590278,0.597727,0.590278,0.0027,0.0311,0.001,0.0,0.0322,0.0004,0.0002,0.0004,0.0256,205.2448,5.0754,5.0279,5.245,2.1752,0.0544,0.0243,0.001786,0.0005,205.3348,0.0,0.0
46,6,64,6,782,108,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.569231,11,26,0.614716,0.574541,0.574003,0.589147,0.558859,0.589147,0.0022,0.0295,0.0007,0.0,0.0302,0.0004,0.0002,0.0004,0.0248,140.4593,5.344,5.0433,6.3062,1.4808,0.057,0.0252,0.001882,0.0005,140.5468,0.0,0.0
42,7,128,6,896,126,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.768284,27,42,0.613366,0.56078,0.56071,0.566251,0.555168,0.566251,0.0022,0.0365,0.0012,0.0,0.0377,0.0007,0.0002,0.0004,0.031,269.5322,6.3409,6.2381,6.7322,3.1619,0.0753,0.0296,0.001809,0.0005,269.6384,0.0,0.0
43,7,128,6,896,126,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.76732,18,33,0.605346,0.556193,0.555767,0.569522,0.542012,0.569522,0.0022,0.0371,0.0009,0.0,0.038,0.0005,0.0002,0.0004,0.0304,211.9594,6.3458,6.2493,6.7659,2.5035,0.0759,0.0324,0.002639,0.0007,212.0686,0.0,0.0
44,7,128,6,896,126,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.767437,47,50,0.617094,0.561927,0.561696,0.571749,0.551643,0.571749,0.0034,0.0336,0.001,0.0,0.0346,0.0006,0.0002,0.0004,0.0304,319.1861,6.3063,6.2081,6.5178,3.8053,0.0761,0.0302,0.001924,0.0006,319.2906,0.0,0.0
45,7,128,6,896,126,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.768355,23,38,0.623457,0.524083,0.523315,0.542448,0.504182,0.542448,0.0028,0.0312,0.001,0.0,0.0322,0.0005,0.0002,0.0004,0.03,241.2728,6.2724,6.2068,6.551,2.872,0.0756,0.0308,0.001826,0.0006,241.374,0.0,0.0
46,7,128,6,896,126,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.768161,9,24,0.597148,0.573394,0.57317,0.58296,0.56338,0.58296,0.0025,0.0319,0.0009,0.0,0.0328,0.0006,0.0002,0.0004,0.0345,152.7337,6.2881,6.2256,6.7153,1.786,0.0744,0.0301,0.001844,0.0005,152.839,0.0,0.0
42,8,256,6,1010,144,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.954635,16,31,0.602371,0.56422,0.5642,0.561201,0.567198,0.561201,0.0032,0.033,0.001,0.0,0.0341,0.0007,0.0002,0.0006,0.0334,230.9584,7.3403,7.0193,9.9767,3.3676,0.1086,0.0378,0.001973,0.001,231.0735,0.0,0.0
43,8,256,6,1010,144,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.954757,36,50,0.56361,0.53211,0.5321,0.529954,0.534247,0.529954,0.0024,0.0301,0.0011,0.0,0.0312,0.0007,0.0002,0.0004,0.0333,360.2828,7.097,6.7947,7.6671,5.3673,0.1073,0.0412,0.001857,0.001,360.397,0.0,0.0
44,8,256,6,1010,144,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.954562,32,47,0.60868,0.577982,0.577982,0.577982,0.577982,0.577982,0.0022,0.0334,0.0013,0.0,0.0348,0.0008,0.0002,0.0004,0.0347,364.6752,7.6438,6.8502,9.1788,5.3531,0.1139,0.0398,0.001972,0.0008,364.7926,0.0,0.0
45,8,256,6,1010,144,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.955224,14,29,0.603712,0.583716,0.583671,0.579374,0.587968,0.579374,0.003,0.0326,0.0011,0.0,0.0337,0.0009,0.0002,0.0004,0.0347,213.5817,7.2531,7.0988,7.6133,3.2012,0.1104,0.0375,0.002191,0.001,213.6972,0.0,0.0
46,8,256,6,1010,144,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+pca+pad,weighted_ce,adam,cosine,sst2,5000,0.95495,13,28,0.598894,0.566514,0.565196,0.58913,0.541262,0.58913,0.003,0.0328,0.0013,0.0,0.0341,0.0007,0.0002,0.0004,0.034,204.8038,7.2052,7.1224,7.3769,3.0202,0.1079,0.038,0.001907,0.0009,204.9189,0.0,0.0
42,9,512,6,1124,162,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+zero_pad,weighted_ce,adam,cosine,sst2,5000,1.0,23,38,0.769697,0.738532,0.738465,0.742664,0.734266,0.742664,0.0027,0.0,0.0,0.0015,0.0015,0.0009,0.0002,0.0004,0.039,315.0847,8.1084,7.9992,8.4007,6.9118,0.1819,0.0524,0.001941,0.0021,315.1877,0.0,0.0
43,9,512,6,1124,162,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+zero_pad,weighted_ce,adam,cosine,sst2,5000,1.0,14,29,0.752789,0.738532,0.73852,0.740319,0.736721,0.740319,0.0026,0.0,0.0,0.0016,0.0017,0.001,0.0002,0.0004,0.0386,242.688,8.186,7.7039,13.9603,5.2547,0.1812,0.0489,0.001876,0.0015,242.7866,0.0,0.0
44,9,512,6,1124,162,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+zero_pad,weighted_ce,adam,cosine,sst2,5000,1.0,26,41,0.754971,0.755734,0.755384,0.746126,0.764641,0.746126,0.0025,0.0,0.0,0.0016,0.0016,0.0009,0.0002,0.0004,0.0376,347.8352,8.3011,7.6747,13.0664,7.4357,0.1814,0.0484,0.002022,0.0017,347.9327,0.0,0.0
45,9,512,6,1124,162,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+zero_pad,weighted_ce,adam,cosine,sst2,5000,1.0,32,47,0.726814,0.72133,0.721169,0.714454,0.727884,0.714454,0.003,0.0,0.0,0.0016,0.0016,0.001,0.0002,0.0004,0.0377,380.4831,7.915,7.7164,8.4999,8.4161,0.1791,0.0516,0.002058,0.002,380.5846,0.0,0.0
46,9,512,6,1124,162,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+zero_pad,weighted_ce,adam,cosine,sst2,5000,1.0,20,35,0.754506,0.711009,0.71079,0.70283,0.71875,0.70283,0.0031,0.0,0.0,0.0018,0.0018,0.001,0.0002,0.0004,0.0388,282.0517,7.8788,7.706,8.5278,6.2455,0.1784,0.0486,0.001849,0.0018,282.1515,0.0,0.0
42,10,1024,6,1238,180,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+zero_pad,weighted_ce,adam,cosine,sst2,5000,1.0,44,50,0.772394,0.729358,0.729322,0.726218,0.732426,0.726218,0.0029,0.0,0.0,0.0028,0.0028,0.0022,0.0002,0.0004,0.0411,458.6941,8.8287,8.6364,9.3494,17.1934,0.3439,0.0682,0.001795,0.0037,458.8192,0.0,0.0
43,10,1024,6,1238,180,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+zero_pad,weighted_ce,adam,cosine,sst2,5000,1.0,32,47,0.749975,0.736239,0.736071,0.729412,0.742729,0.729412,0.0027,0.0,0.0,0.0028,0.0028,0.0016,0.0002,0.0004,0.0411,469.7318,9.6434,8.7008,10.0837,16.4275,0.3495,0.0752,0.001964,0.0041,469.8638,0.0,0.0
44,10,1024,6,1238,180,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+zero_pad,weighted_ce,adam,cosine,sst2,5000,1.0,28,43,0.766985,0.733945,0.733876,0.729604,0.738149,0.729604,0.0027,0.0,0.0,0.0029,0.0029,0.002,0.0002,0.0004,0.048,439.1271,9.8587,9.0526,10.7014,15.1441,0.3522,0.07,0.001947,0.0043,439.2614,0.0,0.0
45,10,1024,6,1238,180,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+zero_pad,weighted_ce,adam,cosine,sst2,5000,1.0,13,28,0.76185,0.728211,0.728202,0.729761,0.726644,0.729761,0.0025,0.0,0.0,0.0029,0.0029,0.0017,0.0002,0.0004,0.0427,274.2358,9.435,8.556,15.8534,10.0183,0.3578,0.0817,0.002067,0.0045,274.3762,0.0,0.0
46,10,1024,6,1238,180,amplitude,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,cuda,sbert+zero_pad,weighted_ce,adam,cosine,sst2,5000,1.0,19,34,0.741068,0.713303,0.713301,0.713959,0.712644,0.713959,0.0031,0.0,0.0,0.0028,0.0028,0.0018,0.0002,0.0006,0.0555,330.0672,9.3503,9.0329,15.011,12.1112,0.3562,0.0713,0.001961,0.0037,330.2106,0.0,0.0
