seed,n_qubits,n_amplitudes,n_layers,n_params,n_q_params,encoding,ansatz,diff_method,backend,shots,sbert_model,embed_dim,compression_method,w2k_rank,preproc,loss,optimizer,scheduler,dataset,train_size,var_ratio_pca,best_epoch,stopped_at,val_f1_best,test_acc,test_f1_macro,test_f1_pos,f1_negative,f1_positive,t_data_slice_s,t_proj_fit_s,t_proj_transform_s,t_pad_s,t_preproc_total_s,t_tensor_upload_s,t_circuit_build_s,t_model_init_s,t_warmup_s,t_train_total_s,t_train_epoch_mean_s,t_train_epoch_min_s,t_train_epoch_max_s,t_val_inference_total_s,t_val_inference_mean_s,t_test_inference_s,t_postproc_s,t_cleanup_s,t_seed_total_s,t_embed_train_s,t_embed_test_s
42,6,6,6,782,108,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.153728,15,30,0.785865,0.733945,0.733945,0.733945,0.733945,0.733945,0.0023,0.1168,0.0006,0.0,0.1175,0.0003,0.0002,0.0004,0.0257,158.3264,5.2077,5.1762,5.3574,2.0585,0.0686,0.0257,0.001827,0.0005,158.5025,0.0,0.0
43,6,6,6,782,108,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.150832,15,30,0.761275,0.732798,0.73277,0.730012,0.735528,0.730012,0.0022,0.1196,0.0006,0.0,0.1203,0.0003,0.0002,0.0005,0.0266,158.6537,5.2183,5.1902,5.4043,2.067,0.0689,0.0257,0.001924,0.0006,158.8339,0.0,0.0
44,6,6,6,782,108,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.15154,4,19,0.749437,0.723624,0.723463,0.730123,0.716804,0.730123,0.0022,0.1189,0.0007,0.0,0.1196,0.0003,0.0002,0.0004,0.0264,100.23,5.2051,5.186,5.3508,1.31,0.0689,0.0253,0.001744,0.0005,100.4084,0.0,0.0
45,6,6,6,782,108,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.151637,10,25,0.742964,0.732798,0.732415,0.722288,0.742541,0.722288,0.0023,0.1462,0.0006,0.0,0.1468,0.0003,0.0002,0.0004,0.0276,132.2033,5.218,5.1867,5.3743,1.7209,0.0688,0.0249,0.001736,0.0005,132.4099,0.0,0.0
46,6,6,6,782,108,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.153825,16,31,0.770844,0.732798,0.732697,0.727485,0.737908,0.727485,0.0022,0.1178,0.0006,0.0,0.1184,0.0003,0.0002,0.0004,0.0266,163.6633,5.209,5.1854,5.3584,2.1468,0.0693,0.0251,0.001817,0.0004,163.8406,0.0,0.0
42,7,7,6,896,126,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.169135,17,32,0.787002,0.738532,0.738394,0.744395,0.732394,0.744395,0.0022,0.1181,0.0006,0.0,0.1188,0.0002,0.0002,0.0004,0.0306,195.8578,6.0034,5.9573,6.2307,3.7092,0.1159,0.0295,0.001924,0.0006,196.044,0.0,0.0
43,7,7,6,896,126,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.166353,14,29,0.76238,0.743119,0.743098,0.740741,0.745455,0.740741,0.0022,0.1172,0.0008,0.0,0.118,0.0003,0.0002,0.0004,0.0302,177.3921,5.9998,5.957,6.1325,3.3605,0.1159,0.0319,0.001787,0.001,177.58,0.0,0.0
44,7,7,6,896,126,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.166699,5,20,0.761264,0.732798,0.732206,0.744797,0.719615,0.744797,0.0022,0.1176,0.0006,0.0,0.1182,0.0003,0.0002,0.0004,0.0306,122.1819,5.9921,5.9514,6.133,2.3152,0.1158,0.0296,0.001778,0.0006,122.3677,0.0,0.0
45,7,7,6,896,126,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.167159,13,28,0.768205,0.739679,0.739429,0.731361,0.747497,0.731361,0.0022,0.1171,0.0006,0.0,0.1178,0.0003,0.0002,0.0004,0.03,171.6261,6.0123,5.9474,6.1602,3.2473,0.116,0.0293,0.001761,0.0008,171.8106,0.0,0.0
46,7,7,6,896,126,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.169415,6,21,0.778039,0.745413,0.745347,0.741259,0.749436,0.741259,0.0023,0.1201,0.0007,0.0,0.1208,0.0003,0.0002,0.0004,0.031,4778.6323,6.026,5.8451,6.2307,2.3982,0.1142,0.0291,0.001744,0.0007,128.4503,0.0,0.0
42,8,8,6,1010,144,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.183867,3,18,0.784044,0.730505,0.730476,0.733258,0.727694,0.733258,0.0036,0.1312,0.0007,0.0,0.1319,0.0003,0.0002,0.0004,0.0366,128.9199,6.9399,6.8447,7.2926,3.9789,0.221,0.0434,0.001749,0.0013,129.1414,0.0,0.0
43,8,8,6,1010,144,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.181009,8,23,0.761275,0.743119,0.74301,0.737705,0.748315,0.737705,0.0028,0.1294,0.0007,0.0,0.1301,0.0003,0.0002,0.0004,0.0354,164.7887,6.943,6.8292,7.5684,5.0705,0.2205,0.0438,0.001848,0.0014,165.0067,0.0,0.0
44,8,8,6,1010,144,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.181386,5,20,0.768395,0.725917,0.725475,0.736494,0.714456,0.736494,0.0026,0.127,0.0007,0.0,0.1277,0.0003,0.0002,0.0005,0.0374,142.3281,6.8951,6.7875,7.2324,4.4014,0.2201,0.0436,0.00187,0.0012,142.5452,0.0,0.0
45,8,8,6,1010,144,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.182181,4,19,0.783718,0.748853,0.748647,0.74144,0.755853,0.74144,0.0025,0.1296,0.0007,0.0,0.1303,0.0003,0.0002,0.0004,0.0359,135.3256,6.9016,6.8001,7.23,4.172,0.2196,0.0433,0.001761,0.0012,135.5432,0.0,0.0
46,8,8,6,1010,144,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.184137,6,21,0.776021,0.739679,0.739498,0.732627,0.746369,0.732627,0.0029,0.1258,0.0006,0.0,0.1265,0.0003,0.0002,0.0004,0.0373,150.5899,6.9491,6.8557,7.1592,4.6327,0.2206,0.0435,0.001725,0.0011,150.8057,0.0,0.0
42,9,9,6,1124,162,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.19802,3,18,0.788038,0.730505,0.730402,0.735658,0.725146,0.735658,0.0028,0.1276,0.0008,0.0,0.1284,0.0003,0.0002,0.0004,0.0432,147.0569,7.696,7.554,8.0743,8.5069,0.4726,0.0794,0.001922,0.0023,147.3175,0.0,0.0
43,9,9,6,1124,162,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.195289,18,33,0.76514,0.747706,0.747599,0.742389,0.752809,0.742389,0.0026,0.1292,0.0008,0.0,0.13,0.0003,0.0002,0.0005,0.0431,269.6794,7.6986,7.5784,7.9801,15.5849,0.4723,0.079,0.001808,0.0022,269.9411,0.0,0.0
44,9,9,6,1124,162,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.195909,26,41,0.777961,0.732798,0.732719,0.737317,0.728121,0.737317,0.0026,0.131,0.0009,0.0,0.1319,0.0004,0.0002,0.0004,0.0457,334.899,7.6945,7.5594,7.9823,19.3728,0.4725,0.0799,0.00187,0.0027,335.1666,0.0,0.0
45,9,9,6,1124,162,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.196277,24,39,0.780581,0.743119,0.743071,0.739535,0.746606,0.739535,0.0024,0.1315,0.0007,0.0,0.1323,0.0003,0.0002,0.0005,0.0429,322.7288,7.7988,7.5708,9.377,18.5225,0.4749,0.0877,0.002106,0.0044,323.0038,0.0,0.0
46,9,9,6,1124,162,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.198368,13,28,0.782314,0.737385,0.737327,0.733411,0.741243,0.733411,0.0025,0.1557,0.0009,0.0,0.1567,0.0003,0.0002,0.0008,0.0575,309.3937,10.5064,7.8583,33.4135,15.1761,0.542,0.0812,0.001941,0.0027,309.6994,0.0,0.0
42,10,10,6,1238,180,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.211877,20,35,0.791034,0.733945,0.733923,0.731481,0.736364,0.731481,0.0083,0.1233,0.001,0.0,0.1244,0.0004,0.0002,0.0005,0.0441,376.1387,9.7102,9.5752,9.9626,36.2379,1.0354,0.1579,0.001923,0.0055,376.484,0.0,0.0
43,10,10,6,1238,180,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.209176,4,19,0.765537,0.744266,0.744056,0.736718,0.751394,0.736718,0.0068,0.1331,0.0008,0.0,0.1339,0.0003,0.0002,0.0004,0.0435,203.604,9.6794,9.6013,9.8221,19.6701,1.0353,0.1553,0.001916,0.0056,203.954,0.0,0.0
44,10,10,6,1238,180,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.209224,7,22,0.761192,0.737385,0.737285,0.732164,0.742407,0.732164,0.0054,0.1257,0.0008,0.0,0.1265,0.0003,0.0002,0.0005,0.0432,236.1597,9.6978,9.5768,9.8692,22.7793,1.0354,0.1588,0.001937,0.0052,236.5038,0.0,0.0
45,10,10,6,1238,180,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.209907,4,19,0.783046,0.743119,0.743033,0.747748,0.738318,0.747748,0.0044,0.1281,0.0009,0.0,0.129,0.0004,0.0002,0.0004,0.0441,204.1556,9.7082,9.6123,9.8902,19.6751,1.0355,0.1553,0.001961,0.0047,204.498,0.0,0.0
46,10,10,6,1238,180,angle_X,stronglyentangling,backprop,default.qubit,None (statevector),sentence-transformers/all-MiniLM-L6-v2,384,w2k-angle,0,sbert+w2k-angle+angle_X,weighted_ce,adam,cosine,sst2,5000,0.211525,11,26,0.787238,0.736239,0.73615,0.731308,0.740991,0.731308,0.0039,0.1269,0.0009,0.0,0.1277,0.0003,0.0002,0.0004,0.0439,278.6399,9.6805,9.5929,9.8798,26.9133,1.0351,0.1556,0.002083,0.0055,278.9815,0.0,0.0
